ID,x,y,z
0,-160.655311996,-17.611592587513798,0.07
1,-160.655311996,-17.611592587513798,0.06
2,-160.655311996,-10.56695555250828,0.07
3,-160.655311996,-10.56695555250828,0.06
4,-160.655311996,-3.5223185175027596,0.07
5,-160.655311996,-3.5223185175027596,0.06
6,-160.655311996,3.5223185175027596,0.07
7,-160.655311996,3.5223185175027596,0.06
8,-160.655311996,10.56695555250828,0.07
9,-160.655311996,10.56695555250828,0.06
10,-160.655311996,17.611592587513798,0.07
11,-160.655311996,17.611592587513798,0.06
12,-156.588088907,-38.745503692530356,0.07
13,-156.588088907,-38.745503692530356,0.06
14,-156.588088907,-31.700866657524838,0.07
15,-156.588088907,-31.700866657524838,0.06
16,-158.621700452,-28.178548140022077,0.07
17,-158.621700452,-28.178548140022077,0.06
18,-156.588088907,-24.65622962251932,0.07
19,-156.588088907,-24.65622962251932,0.06
20,-158.621700452,-21.13391110501656,0.07
21,-158.621700452,-21.13391110501656,0.06
22,-156.588088907,-17.611592587513798,0.07
23,-156.588088907,-17.611592587513798,0.06
24,-158.621700452,-14.089274070011038,0.07
25,-158.621700452,-14.089274070011038,0.06
26,-156.588088907,-10.56695555250828,0.07
27,-156.588088907,-10.56695555250828,0.06
28,-158.621700452,-7.044637035005519,0.07
29,-158.621700452,-7.044637035005519,0.06
30,-156.588088907,-3.5223185175027596,0.07
31,-156.588088907,-3.5223185175027596,0.06
32,-158.621700452,0.0,0.07
33,-158.621700452,0.0,0.06
34,-156.588088907,3.5223185175027596,0.07
35,-156.588088907,3.5223185175027596,0.06
36,-158.621700452,7.044637035005519,0.07
37,-158.621700452,7.044637035005519,0.06
38,-156.588088907,10.56695555250828,0.07
39,-156.588088907,10.56695555250828,0.06
40,-158.621700452,14.089274070011038,0.07
41,-158.621700452,14.089274070011038,0.06
42,-156.588088907,17.611592587513798,0.07
43,-156.588088907,17.611592587513798,0.06
44,-158.621700452,21.13391110501656,0.07
45,-158.621700452,21.13391110501656,0.06
46,-156.588088907,24.65622962251932,0.07
47,-156.588088907,24.65622962251932,0.06
48,-158.621700452,28.178548140022077,0.07
49,-158.621700452,28.178548140022077,0.06
50,-156.588088907,31.700866657524838,0.07
51,-156.588088907,31.700866657524838,0.06
52,-156.588088907,38.745503692530356,0.07
53,-156.588088907,38.745503692530356,0.06
54,-152.520865819,-52.83477776254139,0.07
55,-152.520865819,-52.83477776254139,0.06
56,-152.520865819,-45.790140727535885,0.07
57,-152.520865819,-45.790140727535885,0.06
58,-154.55447736300002,-42.26782221003312,0.07
59,-154.55447736300002,-42.26782221003312,0.06
60,-152.520865819,-38.745503692530356,0.07
61,-152.520865819,-38.745503692530356,0.06
62,-154.55447736300002,-35.223185175027595,0.07
63,-154.55447736300002,-35.223185175027595,0.06
64,-152.520865819,-31.700866657524838,0.07
65,-152.520865819,-31.700866657524838,0.06
66,-154.55447736300002,-28.178548140022077,0.07
